At which cell stage does the human embryo differentiate into the trophoblast and inner cell mass?,8- to 16-cell stage (morula stage).
Which embryonic layer eventually forms the fetal component of the placenta?,Trophoblast.
The inner cell mass of the blastocyst is also known as the _____.,Embryoblast
What enzyme is responsible for pumping sodium into the morula to form the blastocyst cavity?,Sodium/potassium $ATPase$.
What process causes water to enter the morula and form the blastocoelic fluid?,Osmosis.
"In a blastocyst, what term describes the side containing the inner cell mass?",Embryonic pole.
"During the second week, the embryoblast splits into which two epithelial layers?",Epiblast and hypoblast.
The hypoblast layer of the bilaminar embryonic disc is also referred to as the _____.,Primitive endoderm
Where does the amniotic cavity first appear in the developing embryo?,Between the epiblast and the overlying trophoblast.
Which layer of the bilaminar disc is composed of columnar cells and defines the dorsal axis?,Epiblast.
What is the name of the first wave of migratory endodermal cells forming the primary yolk sac?,Heuser's membrane (exocoelomic membrane).
"By the end of the second week, the extraembryonic coelom is also called the _____ cavity.",Chorionic
What structure suspends the embryonic disc within the chorionic cavity on day 13?,Connecting stalk.
The process of forming the three primary germ layers is called _____.,Gastrulation
Where does the primitive streak first appear on the bilaminar embryonic disc?,The caudal midline of the epiblast.
Which specific structure at the cranial end of the primitive streak contains the primitive pit?,Primitive node.
"During gastrulation, which layer is formed when ingressing epiblast cells displace the original hypoblast?",Definitive endoderm.
What becomes of the epiblast cells that remain on the surface after gastrulation is complete?,Ectoderm.
Concept: Epithelial-to-mesenchymal transformation (EMT),"Definition: The process where tightly connected epithelial cells transform into loosely connected, migratory mesenchymal cells."
Which transcription factor is responsible for repressing epithelial characteristics (like $E-cadherin$) during gastrulation?,$snail$.
"During EMT in the primitive streak, the expression of the cytoskeletal protein _____ is induced.",Vimentin
The _____ model explains how left-right asymmetry is established via ciliary action in the node.,Nodal flow
What syndrome is characterized by inverted laterality due to mutations in dynein and immotile cilia?,Kartagener syndrome.
"In the mechanosensory model of nodal flow, which cells sense the calcium flux on the left side?",Crown cells.
Which embryonic germ layer gives rise to the epidermis and the oral cavity mucosa?,Ectoderm.
The enamel of the teeth is derived from which embryonic germ layer?,Surface ectoderm.
Which embryonic germ layer gives rise to the vascular and urogenital systems?,Mesoderm.
Mesenchyme derived from neural crest cells in the head region is specifically called _____.,Ectomesenchyme
What is the primary force responsible for embryonic folding during the fourth week?,Differential growth of various embryonic tissues.
On which day of development does embryonic folding typically commence in the cranial region?,Day 22.
What three-dimensional body plan results from the folding of the trilaminar embryonic disc?,Tube-within-a-tube body plan.
The internalization of the endoderm during folding creates the primitive _____ tube.,Gut
Which gut region initially remains open to the yolk sac after folding begins?,Midgut.
The narrowing neck of the yolk sac that remains connected to the midgut is the _____ duct.,Vitelline
Which membrane marks the cranial termination of the foregut?,Oropharyngeal membrane (buccopharyngeal membrane).
Which membrane marks the caudal termination of the hindgut?,Cloacal membrane.
How does cranial folding affect the position of the cardiogenic area and septum transversum?,It translocates them ventrally and caudally toward the future chest.
What slender endodermal diverticulum is found within the root of the connecting stalk?,Allantois.
The intraembryonic coelom is formed within the _____ mesoderm after lateral folding.,Lateral plate
Which layer of mesoderm coats the inner surface of the body wall after folding?,Somatic mesoderm.
Which layer of mesoderm ensheathes the primitive gut tube after folding?,Splanchnic mesoderm.
Which clinical defect occurs when the anterior body wall fails to fuse properly during folding?,Gastroschisis.
The primitive connective tissue that gives rise to adult connective and muscle tissues is _____.,Mesenchyme
Which specialized ground substance is found within the umbilical cord between mesenchymal cells?,Wharton's jelly.
Morphogenetic movement: Epiboly,"Definition: The spreading of an epithelial sheet of cells, usually across the surface of the embryo."
Morphogenetic movement: Emboly,Definition: The internalization of cells or cell sheets into the interior of the embryo.
Which type of morphogenetic movement involves the narrowing and concomitant lengthening of a cell population?,Convergent extension.
The $Cdx2$ gene is an early marker for which regional subdivision of the definitive endoderm?,Caudal endoderm (hindgut).
Which transcription factors are uniformly expressed in the morula before differentiation into trophoblast or embryoblast?,$Oct4$ and $nanog$.
How does the amnion change during the fourth to eighth weeks of development?,"It expands to enclose the entire embryo, eventually filling the chorionic space."
"What structure is formed by the fusion of the connecting stalk, yolk sac neck, and amniotic membrane sheath?",Umbilical cord.
Which embryonic layer forms the serous membranes lining the body cavities?,Mesoderm (specifically lateral plate mesoderm).
"In the bilaminar disc stage, which layer is composed of cuboidal cells?",Hypoblast.
The secondary yolk sac is formed by a second wave of cells migrating from the _____.,Hypoblast
Which extracellular structure is laid down between the epiblast and hypoblast as they differentiate?,Basement membrane.
The primary dorsal-ventral axis of the embryo is first established with the formation of the _____.,Bilaminar embryonic disc
Which specific signaling molecule in the primitive streak promotes an anterior endodermal fate?,$nodal$.
Cell lineage studies use _____ genes to mark individual cells and follow their descendants.,Reporter
What is the primary function of pseudopodia and filopodia in gastrulating cells?,To enable migration through the primitive streak into the embryo's interior.
Which signaling pathway helps regulate the actin organization and lamellipodia of gastrulating cells?,"Rho family of $GTPases$ (e.g., $RhoA$ and $Rac1$)."
The displacement of the original hypoblast by epiblast cells occurs on which days of development?,Days 14 and 15.
"In the chicken model, which antagonist is required for the formation of the primitive streak?",Chordin.
What is the role of the anterior visceral endoderm (AVE) in the mouse embryo?,It acts as a head organizer to pattern the cranial-caudal axis.
Which process is driven by medial-lateral interdigitation of cells (cell-to-cell intercalation)?,Convergent extension.
Which signaling molecule is known to affect both the brain/face and limb development depending on the mutation site?,$Sonic$ $hedgehog$ ($SHH$).
What occurs to the chorionic cavity when the amnion expands and contacts the chorion?,It disappears as the extraembryonic mesoderm layers fuse.
The 'double-bubble' sign on a fetal ultrasound is a classic indicator of which condition?,"Duodenal obstruction (e.g., duodenal atresia)."
What is the embryonic origin of the lens and cornea epithelia?,Surface ectoderm.
Which germ layer is the 'innermost' layer of the tube-within-a-tube body plan?,Endoderm.
The _____ is a longitudinal midline structure in the epiblast that initiates gastrulation.,Primitive streak
"In vertebrate embryology, the primitive node is considered homologous to the _____ in amphibians.",Spemann-Mangold organizer
Which transcription factor is critical for endoderm development by regulating $Sox17$ expression?,HMG-box-containing $Sox$ family factors.
"As the embryo folds, the yolk sac neck is reduced to a slender tube called the _____.",Vitelline duct
Which type of embryonic folding translocates the cloacal membrane to the ventral surface?,Caudal folding.
"By the end of the fourth week, the embryo has transitioned from a flat disc to what shape?","A trilaminar, elongated cylinder."