From which embryonic structure do primordial germ cells (PGCs) originate?,The wall of the yolk sac
During which gestational weeks do PGCs migrate to the dorsal body wall?,Between the sixth and twelfth weeks
"In the female embryo, into what specific cell type do PGCs differentiate once they populate the gonads?",Oogonia
How do oogonia increase their population size during early fetal life?,Through mitotic divisions
Identify the chromosomal status (ploidy) of oogonia.,Diploid ($2n$)
When do oogonia initiate the first meiotic division to become primary oocytes?,Between the third and fifth months of fetal life
At what specific stage of meiotic prophase I does the primary oocyte first become arrested?,The diplotene stage
"Name the large, watery nucleus of a dormant primary oocyte that protects its DNA during meiotic arrest.",Germinal vesicle
Which cells surround the primary oocytes to form primordial follicles?,Somatic support cells (follicle cells)
What is the typical total count of primary oocytes present at birth?,"600,000 to 800,000"
Describe the shape of the follicle cells in a primordial follicle.,Squamous
The transition from a primordial follicle to a primary follicle is marked by follicle cells becoming _____ in shape.,cuboidal
Name the acellular glycoprotein layer secreted between the oocyte and its surrounding follicle cells.,Zona pellucida
Which two entities jointly secrete the glycoproteins that form the zona pellucida?,The oocyte and the follicle cells
What structure is formed when the follicular epithelium of a primary follicle proliferates into multiple layers?,A growing follicle (primary follicle)
"In oogenesis, what is the term for the spontaneous death and resorption of immature oocytes?",Atresia
Atresia is primarily mediated by the _____ of the granulosa cells surrounding the oocyte.,apoptosis
Approximately how many mature ova will a woman produce during her entire reproductive life span?,400
How long can a primary oocyte remain arrested in the first meiotic prophase?,12 to 50 years
Which chromosomal anomaly is commonly associated with errors in meiotic division due to long periods of oocyte arrest?,Trisomy 21 (Down syndrome)
Under the influence of which pituitary hormone do primordial follicles begin to mature at puberty?,Follicle-stimulating hormone (FSH)
What fluid-filled cavity distinguishes a secondary (antral) follicle from a primary follicle?,The antrum
Which hormone surge triggers the completion of the first meiotic division just before ovulation?,Luteinizing hormone (LH)
What are the two daughter cells resulting from the first meiotic division of a primary oocyte?,A secondary oocyte and the first polar body
Why is the cytoplasmic division during female meiosis considered unequal?,The secondary oocyte receives most of the cytoplasm while the polar body receives very little.
In which specific stage of meiosis is the secondary oocyte arrested during ovulation?,Metaphase II
What event is required for a secondary oocyte to resume and complete its second meiotic division?,Fertilization by a spermatozoon
What is the final functional product of oogenesis if fertilization occurs?,A definitive oocyte (ovum)
How many total polar bodies are produced from one primary oocyte if the first polar body also divides?,Three
The chromosome number of a definitive oocyte is described as _____ ($1n$).,haploid
How many chromosomes are found in a human haploid gamete?,23
What happens to the secondary oocyte if fertilization does not occur within 24 hours of ovulation?,It degenerates.
Where does a secondary oocyte typically degenerate if it fails to enter the uterine tube?,In the peritoneal cavity
"In a $2n$ cell, what occurs during the $S$ phase preceding meiosis regarding DNA content?",The DNA content replicates to $4d$.
What characterizes a Graafian follicle?,It is a fully mature follicle ready for ovulation.
The process of the oocyte and its adherent cells being discharged from the ovary is called _____.,ovulation
What is the primary cellular mechanism responsible for reducing the fetal oocyte count from 5 million to 1 million by birth?,Atresia (Apoptosis)
How long does a secondary oocyte remain viable for fertilization after ovulation?,Approximately 24 hours
Describe the fate of the polar bodies produced during oogenesis.,They are non-functional and eventually degenerate.
Which ovarian region is primarily dedicated to the development of follicles?,The cortex
"Which ovarian region contains the major blood vessels, nerves, and connective tissue?",The medulla
Explain why Meiosis I is termed a 'reductional division'.,The chromosome number is reduced from diploid ($2n$) to haploid ($1n$).
Explain why Meiosis II is termed an 'equatorial division'.,"Sister chromatids are separated, maintaining the haploid number of chromosomes."
Identify the hormone responsible for 'morning sickness' in early pregnancy.,hCG (Human chorionic gonadotropin)
Describe the role of follicular extensions in the zona pellucida.,They provide metabolic support and developmental signals to the oocyte.
"The first meiotic prophase involves the formation of _____, where genetic recombination occurs between homologous chromosomes.",chiasmata
What is the status of centromeres during the first meiotic division?,"They do not replicate, keeping sister chromatids together."
What happens to the primary oocytes that remain at the onset of menopause?,They degenerate within a few years.
"In the ovarian cycle, how many follicles usually reach full maturity to release an oocyte?",Usually only one
The hormone hCG can be detected in maternal urine as early as _____ days after conception.,10 to 14
Identify the term for the first menstrual cycle in a female.,Menarche
A primary oocyte in its dormant stage contains two parallel DNA strands called _____ chromatids.,sister
At what point in development does the human embryo contain the maximum number of primary oocytes?,The fifth month of fetal life
True or False: DNA replication occurs between Meiosis I and Meiosis II.,False
How does the size of an ovarian follicle relate to the oocyte it contains?,The size of the follicle indicates the developmental state of the oocyte.
What is the chromosome number of a human zygote?,Diploid ($2n$ or 46)
Describe the chromosome origin in a diploid zygote.,One set is of maternal origin and the other set is from the male parent.
Which inflammatory mediators are thought to initiate the cascade of events for ovulation?,Histamine and prostaglandins
How do secondary spermatocytes in males differ from the secondary oocyte in females regarding cytoplasmic division?,"Male divisions are equal, whereas the female division is dramatically unequal."
What is the functional result of the first meiotic division of a primary spermatocyte in males?,Two secondary spermatocytes
Which hormone maintains the corpus luteum in early pregnancy to prevent menstruation?,hCG (Human chorionic gonadotropin)
What structure replaces the follicular epithelium in a primary follicle once it begins to proliferate?,Granulosa cells (multilayered)
The arrest of primary oocytes in Prophase I is thought to be maintained by signals from which cells?,Follicle cells (granulosa cells)
At what stage of development do female PGCs differentiate into oogonia?,During their migration to or arrival at the developing gonads
"In the context of the ovary, what does 'Atresia' refer to?",The degeneration and loss of ovarian follicles.
A secondary oocyte contains how many chromatids per chromosome immediately after Meiosis I?,Two
Name the phase of the menstrual cycle characterized by the maturation of a single oocyte and follicle.,Ovarian cycle (folliculogenesis)
What happens to the chromosomes in the female pronucleus following the completion of Meiosis II?,They merge with the male pronucleus chromosomes to form a zygote.
What is the fate of the oogonia that do not enter the first meiotic prophase by fetal month five?,They typically degenerate or have already entered meiosis.
The second meiotic arrest in females is initiated before the replication of what specific structure?,The centromeres
Which process increases the genetic variability of the definitive oocyte during Meiosis I?,Random crossing over (recombination) on homologous chromosomes.
"By the fifth month of fetal life, how many primary oocytes are lost compared to the 7 million original oogonia?",Approximately 2 million (reducing the number to 5 million).
Identify the term for a pregnancy that develops at any site other than the endometrium of the uterine cavity.,Ectopic pregnancy
"In oogenesis, what is the role of the 'sperm centriole' after entering the oocyte?",It organizes a spindle for the merged male and female chromosomes.
Which cells provide the microenvironment necessary for the developing oocyte within the ovary?,Ovarian follicles
Name the specific follicle type present at birth that remains unchanged until sexual maturation.,Primordial follicle
Describe the DNA content of a human definitive oocyte using 'd' notation.,$1d$
Describe the DNA content of a secondary oocyte using 'd' notation.,$2d$
At what point in the menstrual cycle does the ovulatory surge of FSH and LH typically occur?,Around day 14
What happens to 'growing' follicles in a cycle that do not become the dominant Graafian follicle?,They undergo atresia.
Identify the stage of the oocyte when it is discharged during ovulation.,Secondary oocyte
How does the germinal vesicle protect DNA during the decades-long arrest?,"By being large and watery, providing a protective environment for partially condensed chromosomes."
Name the hormone primarily responsible for the proliferation of the uterine endometrium during the ovarian cycle.,Estrogen
What structure is formed from the remains of the follicle after ovulation has occurred?,Corpus luteum