What is the total blood volume in an average adult expressed as a percentage of total body weight?,$7\%$ to $8\%$.
"In a centrifuged blood sample, what specific layer contains the leukocytes and platelets?",The buffy coat.
What percentage of whole blood volume is typically comprised of plasma?,Approximately $55\%$.
Name the protein-rich fluid that serves as the liquid extracellular material of blood.,Plasma.
Which plasma protein is primarily responsible for maintaining the colloid osmotic pressure of the blood?,Albumin.
How do plasma proteins typically appear in hematoxylin and eosin (H&E) stained sections?,As a homogeneous substance that stains evenly with eosin.
What is the standard preparation method used to best display the cell types of peripheral blood for microscopic examination?,The blood smear.
What is the typical diameter of a human erythrocyte in a fixed tissue section?,$7$ to $8 \mu m$.
Why is the erythrocyte often referred to as the 'histologic ruler'?,"Its size is relatively consistent in fixed tissue, allowing for size estimation of other structures."
Erythrocytes are described as _____ discs because they lack a nucleus and typical organelles.,"anucleate, biconcave"
What is the approximate life span of an erythrocyte in the human circulatory system?,$120$ days.
What protein within erythrocytes is specialized for the transport of oxygen and carbon dioxide?,Hemoglobin.
The stack-like formation of erythrocytes often seen in scanning electron micrographs is known as a _____.,rouleau
What iron-storage complex is formed in macrophages from the indigestible residues of hemoglobin following RBC phagocytosis?,Hemosiderin.
Which type of leukocyte is the most numerous in a normal blood smear?,Neutrophils.
What is the typical diameter of a neutrophil in a blood smear?,$10$ to $12 \mu m$.
Neutrophils are also known as _____ neutrophils due to their multi-lobed nuclear morphology.,polymorphonuclear
How many nuclear lobes are typically found in a mature neutrophil?,Two to four.
Which leukocyte is characterized by a bilobed nucleus and large eosinophilic granules containing a crystalline body?,Eosinophil.
"Which type of granulocyte is the least numerous in the blood, often accounting for less than $0.5\%$ of total WBCs?",Basophils.
What specific high-affinity receptor is expressed on the surface of mature basophils and mast cells for allergic responses?,$Fc\epsilon RI$ (Fc receptors for IgE).
What are the two functional categories of agranulocytes found in the blood?,Lymphocytes and monocytes.
"In a blood smear, which leukocyte is characterized by an intensely staining, spherical nucleus surrounded by a very thin rim of pale blue cytoplasm?",Small lymphocyte.
What is the largest type of white blood cell seen in a normal peripheral blood smear?,Monocyte.
What is the average diameter of a monocyte in a blood smear?,$18 \mu m$.
Monocytes are the precursors to the cells of the _____ system.,mononuclear phagocytotic
What is the typical shape of a monocyte nucleus?,Indented or kidney-shaped.
Thrombocytes are cytoplasmic fragments derived from what large polyploid cell in the bone marrow?,Megakaryocytes.
What is the approximate life span of a circulating platelet?,About $10$ days.
What are the four structural zones of a platelet identified by TEM?,"Peripheral, structural, organelle, and membrane zones."
Which platelet zone contains the open canalicular system and the dense tubular system?,The membrane zone.
What is the term for the process of blood cell formation?,Hemopoiesis (or hematopoiesis).
"According to the monophyletic theory, all blood cells are derived from a common _____.",hemopoietic stem cell (HSC).
What are the four specific cell-surface markers used to identify human hemopoietic stem cells (HSCs)?,"$Lin^{-}$, $CD34^{+}$, $CD90^{+}$, and $CD38^{-}$."
HSCs differentiate into two major multipotential progenitor lineages: CMP and _____.,CLP (Common Lymphoid Progenitor).
The Common Myeloid Progenitor (CMP) was previously known by what colony-forming unit abbreviation?,$CFU-GEMM$.
Which bipotential progenitor cell gives rise to both the megakaryocyte and erythrocyte lineages?,MEP (Megakaryocyte/erythrocyte progenitor).
What organ is the primary site of hemopoiesis during the second trimester of fetal development?,The liver.
"Where does the first phase of hemopoiesis, the yolk-sac phase, occur in the embryo?",In 'blood islands' within the wall of the yolk sac.
Definitive hematopoietic stem cells (HSCs) arised intraembryonically from which specific region?,The aorta-gonad-mesonephros (AGM) region.
What is the first recognizable precursor cell in the erythroid lineage?,Proerythroblast.
At which stage of erythropoiesis does the cell become polychromatophilic due to the presence of both ribosomes and hemoglobin?,Polychromatophilic erythroblast.
What is the last stage of erythropoiesis in which mitosis can occur?,Polychromatophilic erythroblast.
An orthochromatophilic erythroblast is also commonly called a _____.,normoblast
Which immature erythrocyte stage is characterized by the absence of a nucleus but the presence of polyribosomes that can be clumped with special stains?,Reticulocyte (or polychromatophilic erythrocyte).
"What hormone, secreted primarily by the kidney, regulates erythrocyte production in response to low oxygen levels?",Erythropoietin.
What is the term for the process of chromosomal replication without nuclear or cytoplasmic division that occurs in megakaryoblasts?,Endomitosis.
What hormone produced by the liver and kidney stimulates the development of platelets from megakaryocytes?,Thrombopoietin.
"During granulopoiesis, at which stage do specific (secondary) granules first appear, allowing for the distinction between neutrophils, eosinophils, and basophils?",The myelocyte stage.
What is the correct sequence of the six morphologically identifiable stages of neutrophil maturation?,"Myeloblast, promyelocyte, myelocyte, metamyelocyte, band cell, and mature neutrophil."
Which transcription factor is essential for the commitment of CLP cells to the B-lymphocyte lineage?,$Pax5$.
Where do pre-T lymphocytes travel to complete their differentiation and education?,The thymus.
What type of bone marrow consists primarily of adipose cells and is hemopoietically inactive?,Yellow bone marrow.
What cell type in the bone marrow provides support for developing blood cells and secretes cytokines to stimulate differentiation?,Adventitial cell (or reticular cell).
"In the bone marrow, where are the 'nests' of developing erythrocytes (erythroblastic islets) typically located?",Near the sinusoid walls.
What is the term for the de novo formation of blood vessels from endothelial precursor cells?,Vasculogenesis.
What is the term for the expansion of the vascular network through the budding and sprouting of existing vessels?,Angiogenesis.
The shift from embryonic (primitive) hemoglobin to fetal (definitive) hemoglobin occurs at approximately how many weeks of gestation?,Five weeks.
Which embryonic structure is the first supplier of blood cells to the circulation?,The yolk sac.
Definitive HSCs colonize the bone marrow and begin contributing to blood cell production as early as _____ weeks of development.,$10.5$
What trophic factor and its corresponding receptor are crucial for the survival and proliferation of HSCs in the AGM region and liver?,Stem cell factor (SCF) and $c-Kit$ receptor.
What is the primary function of the splenic red pulp?,Filtering and degrading old or damaged red blood cells.
"The splenic cords, where blood percolates through a meshwork of reticular fibers, are also known as _____.",Cords of Billroth
"In the spleen, which pulp contains high concentrations of lymphocytes and forms the periarterial lymphatic sheath (PALS)?",White pulp.
What specialized macrophage in the liver is part of the mononuclear phagocytic system?,Kupffer cell.
What byproduct of hemoglobin degradation is transported to the liver to be excreted in bile?,Bilirubin.
What percentage of platelets are produced daily in a healthy adult bone marrow?,Approximately $1 \times 10^{11}$ platelets.
Which WBC is readily identified by a 'U-shaped' or multi-lobed nucleus and neutral-staining granules?,Neutrophil.
The presence of a Barr body (a small appendage on a nuclear lobe) in a neutrophil indicates that the blood sample came from a _____.,female
Which progenitor cell gives rise to the neutrophilic lineage?,NoP (Neutrophil progenitor) or $CFU-G$.
"Which cytokine, secreted by T cells and endothelial cells, stimulates the production of all granulocytes and monocytes?",$GM-CSF$.
What is the term for the transitory opening in a bone marrow endothelial cell through which a mature blood cell enters the sinusoid?,Aperture.
"What specific transcription factor, when expressed in CLP cells, leads to T-lymphocyte differentiation?",$GATA-3$.
"In adults, red bone marrow is restricted to the spaces of spongy bone in specific locations; name two of these sites.",Sternum and iliac crest.
Name the three components of the primitive venous system in the embryo.,"Cardinal system, vitelline veins, and umbilical veins."
Hematopoietic clusters on the ventral floor of the dorsal aorta in the AGM region express which marker for hematopoietic cell development?,$CD45$.
"Which type of erythrocyte, formed in the yolk sac, is typically nucleated and contains embryonic hemoglobin?",Primitive erythrocyte.