What are the two primary characteristics used to define epithelium?,Close cell apposition and presence at a free surface.
Which tissue type is characterized by a minimal intercellular space that is typically devoid of structure?,Epithelial tissue.
What structural feature usually joins epithelial cells to create a barrier between the free surface and connective tissue?,Specialized cell-to-cell junctions.
Epithelium is described as _____ when it is only one cell layer thick.,simple
Epithelium is described as _____ when it possesses two or more cell layers.,stratified
Which term describes epithelial cells that are wider than they are tall?,Squamous.
"Which term describes epithelial cells where the width, depth, and height are approximately equal?",Cuboidal.
Which term describes epithelial cells whose height appreciably exceeds their width?,Columnar.
"In a stratified epithelium, which layer of cells determines the specific classification of the tissue?",The surface layer (apical layer).
What is the primary difference in cell spacing between epithelial tissue and connective tissue?,"Epithelial cells are contiguous, while connective tissue cells are conspicuously separated by extracellular matrix."
The epithelial lining of blood and lymphatic vessels is specifically called _____.,endothelium
The epithelial lining of the atria and ventricles of the heart is specifically called _____.,endocardium
"What is the specific name for the simple squamous epithelium lining the pericardial, pleural, and peritoneal cavities?",Mesothelium.
In which specific vascular structure is the endothelium typically cuboidal rather than squamous?,High endothelial venules (HEV).
What is the term for a tissue that lacks a free surface but possesses close cell apposition and a basement membrane?,Epithelioid tissue.
Most epithelioid tissues are derived from progenitor _____ cells.,mesenchymal
Name one example of a typical endocrine gland that exhibits an epithelioid organization.,Interstitial cells of Leydig (testis) or Islets of Langerhans (pancreas).
"Epithelial cells exhibit distinct _____, meaning they have an apical, lateral, and basal domain.",polarity
Which epithelial domain is directed toward the exterior surface or the lumen of a cavity?,The apical domain.
Which epithelial domain communicates with adjacent cells through specialized attachment areas?,The lateral domain.
"Which epithelial domain rests on the basal lamina, anchoring the cell to connective tissue?",The basal domain.
What functional correlation exists between simple squamous epithelia and transport?,They are compatible with a high rate of transepithelial transport.
What is the primary functional correlation of stratified epithelia regarding permeability?,They typically correlate with transepithelial impermeability.
"In _____ epithelium, all cells rest on the basement membrane, but not all reach the free surface.",pseudostratified
Which specialized epithelium is designed to allow distension in the lower urinary tract?,Transitional epithelium (urothelium).
What are the two major groups of glands classified by their method of product release?,Exocrine glands and endocrine glands.
Which type of gland secretes products into connective tissue to enter the bloodstream rather than using a duct system?,Endocrine glands.
"What is the most common mechanism of exocrine secretion, involving the fusion of membrane-bounded vesicles with the plasma membrane?",Merocrine secretion.
"In _____ secretion, the product is released in the apical portion of the cell surrounded by a thin layer of cytoplasm and plasma membrane.",apocrine
Which mechanism of secretion involves the discharge of both the secretory product and cell debris as the cell undergoes programmed death?,Holocrine secretion.
Which exocrine gland is the classic example of holocrine secretion?,Sebaceous glands of the skin.
The _____ cell is a typical example of a unicellular exocrine gland found in the intestinal and respiratory tracts.,goblet
How is a multicellular gland classified if its duct is unbranched?,Simple.
How is a multicellular gland classified if its duct is branched?,Compound.
What term describes a gland whose secretory portion is shaped like a flask?,Alveolar (or acinar).
"_____ secretions are watery and protein-rich, while mucus secretions are viscous and slimy.",Serous
Why does the cytoplasm of mucus-secreting cells appear empty in routine $H\&E$ sections?,The water-soluble mucinogen granules are lost during tissue preparation.
What morphological feature typically identifies the nucleus of a mucus cell in $H\&E$ sections?,It is usually flattened against the base of the cell.
Which cytoplasmic organelle's abundance causes the basophilia often seen in the perinuclear region of serous cells?,Rough endoplasmic reticulum ($rER$).
What are 'serous demilunes'?,Crescent-shaped caps of serous cells at the periphery of a mucus acinus.
The bilaminar embryonic disc consists of which two epithelial layers formed by day eight?,The epiblast and the hypoblast.
"During gastrulation, all three germ layers (ectoderm, mesoderm, and endoderm) are derived from the _____.",epiblast
What is the process called where individual cells internalize and undergo an epithelial-to-mesenchymal transformation ($EMT$)?,Ingression.
Which germ layer gives rise to the epidermis and the parenchyma of mammary glands?,Surface ectoderm.
The adenohypophysis (anterior pituitary) originates from which germ layer?,Surface ectoderm.
The central nervous system and the retina are derivatives of the _____.,neuroectoderm (neural tube)
From which germ layer do peripheral nerves and Schwann cells originate?,Neuroectoderm (neural crest).
"The kidneys, gonads, and the adrenal cortex are all derivatives of the _____.",mesoderm
Which germ layer forms the epithelial lining of the respiratory system and the alimentary canal?,Endoderm.
"The epithelial portions of the thyroid, parathyroid, and thymus glands are derived from the _____.",endoderm
The adrenal medulla is derived from _____ while the adrenal cortex is derived from _____.,neuroectoderm (neural crest); mesoderm
"In the salivary glands, which cell type is responsible for the contractile movement of secretions from the acini?",Myoepithelial cells.
"In eccrine sweat glands, _____ cells produce the watery component, while _____ cells produce glycoprotein secretions.",clear; dark
Where are the self-renewing stem cells for the gastrointestinal epithelium typically located?,At the base of the intestinal crypts.
What are the four functional cell types found in the fundic glands of the stomach?,"Mucous neck cells, chief cells, parietal cells, and enteroendocrine cells."
Which type of simple squamous epithelium lines the Bowman’s capsule in the kidney?,Simple squamous epithelium.
The 'urothelium' is another name for _____ epithelium.,transitional
What is the difference between simple and compound glands based on their duct systems?,Simple glands have unbranched ducts; compound glands have branched ducts.
Epithelial cells that function as receptors for special senses like taste and hearing are classified as _____ cells.,specialized epithelial
Which apical modification increases surface area for absorption and contains an actin core?,Microvilli.
The epithelium lining the urinary bladder is derived from which embryonic germ layer?,Endoderm.
Which major salivary gland in humans is composed entirely of serous acini?,The parotid gland.
Which major salivary gland is characterized by a predominance of mucous acini?,The sublingual gland.
"In the gastrointestinal tract, which cell types differentiate as they migrate from the crypt base to the villus tip?","Enterocytes, goblet cells, and enteroendocrine cells."
What is the typical journey time for a human intestinal epithelial cell from the crypt to the villus tip?,Three to six days.
Which exocrine gland type discharges whole cells as part of its secretion?,Holocrine glands.
The epithelium lining the esophagus is typically classified as _____ squamous.,stratified
Epithelium is considered _____ because it lacks its own blood vessels.,avascular
The _____ lamina is the structure upon which the basal domain of epithelial cells rests.,basal
Which embryonic germ layer gives rise to the epithelial lining of the cardiovascular system?,Mesoderm.
Name the two major classes of derivatives originating from the ectoderm.,Surface ectoderm and neuroectoderm.
Which specific portion of a gland is called the 'parenchyma'?,The secretory portion.
"_____ epithelium appears to have multiple layers due to nuclei at different levels, but all cells contact the basement membrane.",Pseudostratified
The enamel of the teeth is derived from which germ layer?,Surface ectoderm.
The spleen and the adrenal cortex share a common germ layer origin from the _____.,mesoderm
What is the primary function of the stratified squamous keratinized epithelium of the epidermis?,Barrier and protection.
What type of epithelium lines the gallbladder and the small intestine for absorption?,Simple columnar epithelium.
Which term describes a gland where the tube ends in a saclike dilation?,Tubuloalveolar.
The pancreas is classified as a compound _____ gland based on its secretory unit shape.,acinar
Epithelial cells of the venous sinuses in the spleen are unique for being _____.,rod-shaped