What is the functional unit of the nervous system?,The neuron (or nerve cell).
Nerve tissue is composed of two principal types of cells: neurons and _____.,Supporting cells (neuroglial cells).
What term describes the nerve cell processes that receive impulses and carry them toward the cell body?,Dendrites.
"What single, long process carries electrical impulses away from the neuronal cell body?",The axon.
What is the specialized junction where electrical impulses are transferred between neurons via neuromediators?,The synapse.
"In the Central Nervous System (CNS), what are the supporting cells collectively called?",Central neuroglia (neuroglial cells).
"In the Peripheral Nervous System (PNS), what are the two primary types of supporting cells?",Schwann cells and satellite cells.
Aggregations of nerve cell bodies located in the Peripheral Nervous System are called _____.,Ganglia.
Which germ layer is the embryonic origin for the entire nervous system?,Ectoderm (specifically neuroectoderm).
Which specific embryonic structure gives rise to the Central Nervous System (CNS)?,The neural tube.
Which migratory embryonic cell population gives rise to the Peripheral Nervous System (PNS)?,The neural crest.
"What type of neurons convey sensations of pain, temperature, and touch from the body surface to the CNS?",Somatic afferent (sensory) neurons.
What type of neurons transmit involuntary impulses to smooth muscle and glands?,Visceral efferent (motor) neurons.
What is the estimated percentage of all neurons that function as interneurons?,More than $99.9\% $.
What is the synonym for the cell body of a neuron?,Perikaryon.
What histological feature consists of clumps of rough endoplasmic reticulum visible in the neuronal cytoplasm?,Nissl bodies.
Why do neurons typically have a euchromatic nucleus and a prominent nucleolus?,It reflects high synthetic (anabolic) activity to maintain long processes.
Which area of the neuronal cell body lacks large organelles and serves as the origin of the axon?,The axon hillock.
In which part of the adult brain have neural stem cells been shown to divide and generate new neurons?,Olfactory bulb (and dentate gyrus of the hippocampus).
Which $240-kDa$ intermediate filament protein is used to identify neural stem cells?,Nestin.
What is the name for the extensive arborizations formed by dendrites to increase receptor surface area?,Dendritic trees.
Which CNS neuroglial cells provide physical and metabolic support for neurons?,Astrocytes.
Which CNS neuroglial cells are responsible for the formation and maintenance of myelin?,Oligodendrocytes.
"Which small, inconspicuous CNS glial cells possess phagocytotic properties?",Microglia.
Which columnar CNS glial cells line the ventricles of the brain and the central canal of the spinal cord?,Ependymal cells.
Which embryonic glial cells serve as a physical scaffolding to direct neuronal migration during development?,Radial glial cells.
"In the PNS, which cells surround the nerve cell bodies within ganglia?",Satellite cells.
What is the term for the gaps in the myelin sheath along the length of an axon?,Nodes of Ranvier.
What is the mechanism of rapid impulse conduction that 'jumps' from node to node in myelinated axons?,Saltatory conduction.
"In unmyelinated axons, how are the $Na^{+}$ and $K^{+}$ channels distributed?",Uniformly along the length of the fiber.
Which neuroglial cell type is the only one derived from mesenchyme rather than neuroectoderm?,Microglial cells.
Which intermediate filament class is characteristic of microglia and useful for immunocytochemical identification?,Vimentin.
A bundle of nerve fibers in the PNS held together by connective tissue is defined as a _____.,Peripheral nerve.
Which connective tissue layer surrounds each individual nerve fiber?,Endoneurium.
Which specialized connective tissue layer surrounds a nerve fascicle and contributes to the blood-nerve barrier?,Perineurium.
Which dense irregular connective tissue layer surrounds the entire peripheral nerve?,Epineurium.
Perineurial cells are joined by _____ to form the blood-nerve barrier.,Tight junctions.
What cells are responsible for phagocytosing myelin debris following a nerve injury?,Macrophages.
Which part of the CNS contains the nerve cell bodies and the neuropil?,Gray matter.
"What is the term for the meshwork of axonal, dendritic, and glial processes in the gray matter?",Neuropil.
Functional groups of nerve cell bodies within the gray matter of the CNS are called _____.,Nuclei.
The white matter of the CNS primarily consists of _____.,Myelinated axons (and glial cells).
Where do synapses exclusively occur within the Central Nervous System?,In the gray matter.
What is the morphology of the sensory neurons found in the dorsal root ganglia?,Pseudounipolar.
Which embryonic process induces the ectoderm to thicken into the neural plate?,Neural induction (by the primitive node).
On which day of human development does the neural plate typically form?,Day eighteen.
List the three primary brain vesicles established by the end of the fourth week.,"Prosencephalon, mesencephalon, and rhombencephalon."
Which secondary brain vesicles arise from the subdivision of the prosencephalon?,Telencephalon and diencephalon.
The rhombencephalon subdivides into which two secondary vesicles?,Metencephalon and myelencephalon.
Which brain vesicle does not subdivide further during the secondary vesicle stage?,Mesencephalon.
"What are the small, repetitive segments of the developing hindbrain called?",Rhombomeres.
"Which brain flexure is dorsally directed, unlike the cervical and mesencephalic flexures?",Pontine flexure.
"In the differentiating neural tube, which layer contains proliferating neuroepithelial cells?",Ventricular layer.
The mantle layer of the developing neural tube is the precursor to which adult structure?,Gray matter.
The marginal layer of the developing neural tube consists of axons and becomes the _____.,White matter.
Where does mitosis occur within the neuroepithelium of the neural tube?,At the luminal (ventricular) surface.
Most neurons in the sensory ganglia of cranial nerves have a dual origin from neural crest cells and _____.,Ectodermal placodes.
Which neuroglial cell types are derived solely from neural crest cells in all cranial nerve ganglia?,Glial cells (satellite and Schwann cells).
What structure is formed by the distal end of the optic cup and is considered a placode-like rudiment?,Neural retina.
Which condition is characterized by uncontrolled growth of nerve fibers leading to neuromas and potential blindness?,Neurofibromatosis type 1 (NF-1).
What is the primary function of the myelin sheath in nerve tissue?,To insulate the axon and speed up impulse conduction.
Enteric neuroglial cells are morphologically and functionally similar to which type of glia?,Central neuroglia.
Which cells produce the majority of collagen fibrils found in the endoneurium?,Schwann cells.
The _____ is an external (basal) lamina that surrounds Schwann cells and perineurial cells.,Basal lamina.
What type of conduction occurs along unmyelinated axons?,Continuous conduction (slow wave of voltage reversal).
Which primary brain vesicle is also known as the forebrain?,Prosencephalon.
Which primary brain vesicle is also known as the hindbrain?,Rhombencephalon.
The cerebellum and pons develop from which secondary brain vesicle?,Metencephalon.
The medulla oblongata develops from which secondary brain vesicle?,Myelencephalon.
Which brain layer in the cerebellum involves a second layer of proliferating cells called the external germinal layer?,Cerebellar cortex.
Which glial cells contribute to the blood-brain barrier in the CNS?,Astrocytes.
True or False: Most mature neurons retain the ability to divide throughout adult life.,False.
The _____ is the specialized connective tissue surrounding each nerve fascicle.,Perineurium.
Which nerve fibers convey proprioception from joints and muscles to the brain?,Somatic afferent fibers.
"In histological sections, why is it usually impossible to differentiate axons from dendrites?",They often have the same structural appearance.